sent,type,original_sent
"I do n't know what impact there will be from having Tiger around , Westwood said to ESPN .","['a1_there_will_be', 'a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a2_say_reported_verb']","I don't know what impact there will be from having Tiger around, Westwood said to ESPN."
"The negative experiences overall have been infrequent , but then I tend to avoid places where I feel there will be hostility .","['a1_there_will_be', 'a1_present_simple_reg_act', 'a2_present_perfect', 'a2_to_non_finite_forms']","The negative experiences overall have been infrequent, but then I tend to avoid places where I feel there will be hostility."
"In the process of that happening , there will certainly be advocacy for a joining of Northern Ireland with the Republic of Ireland through some kind of border poll .",['a1_there_will_be'],"In the process of that happening, there will certainly be advocacy for a joining of Northern Ireland with the Republic of Ireland through some kind of border poll."
Promises that might be made to the regulators that there will be a specified proportion of independent directors can not overcome the reality of total ownership and control .,"['a1_there_will_be', 'a1_can', 'a2_passive_modal_verbs']",Promises that might be made to the regulators that there will be a specified proportion of independent directors cannot overcome the reality of total ownership and control.
I think there will be a desperate attempt to renegotiate certain aspects of the original deal,"['a1_there_will_be', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']",I think there will be a desperate attempt to renegotiate certain aspects of the original deal
"There will be no escape for Isis , they have lots of people who want revenge on them .","['a1_there_will_be', 'a1_present_simple_reg_act', 'a2_relative_clause_who_which_that']","There will be no escape for Isis, they have lots of people who want revenge on them."
"I mean , there are all sorts of things that will happen , and they 'll be very , very exciting .","['a1_to_be_future_will_be', 'a1_there_is_am_are', 'a1_there_will_be', 'a1_present_simple_reg_act']","I mean, there are all sorts of things that will happen, and they'll be very, very exciting."
"Then there 'll be secondary outbreaks , and the disease will spread from country to country so fast that you wo n't know what hit you .","['a1_there_will_be', 'a1_past_simple_irreg', 'a1_future_simple']","Then there'll be secondary outbreaks, and the disease will spread from country to country so fast that you won't know what hit you."
"There will come a day when you can have hundreds of thousands of tests done , very cheaply , if you want to know .","['a1_there_will_be', 'a1_can', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a2_first_conditional_if_m']","There will come a day when you can have hundreds of thousands of tests done, very cheaply, if you want to know."
"But , you know , there may even be a simpler approach .","['a1_there_will_be', 'a1_present_simple_reg_act']","But, you know, there may even be a simpler approach."
"And because different species live in different worlds , there will be a discomforting variety of reallys .","['a1_there_will_be', 'a1_present_simple_reg_act']","And because different species live in different worlds, there will be a discomforting variety of reallys."
"You see here the red roof and the gray roof , and in between them there will be a mask , which is just a blank screen , for about a quarter of a second .","['a1_to_be_present_is_am_are', 'a1_there_will_be', 'a1_present_simple_reg_act', 'a2_relative_clause_who_which_that']","You see here the red roof and the gray roof, and in between them there will be a mask, which is just a blank screen, for about a quarter of a second."
"Because these pages smell like Linds , and there wo n't be any time for jerking off tomorrow .","['a1_there_will_be', 'a1_present_simple_reg_act']","Because these pages smell like Linds, and there won't be any time for jerking off tomorrow."
There WILL be people that vote for a female for the same reason .,"['a1_there_will_be', 'a1_present_simple_reg_act', 'a2_relative_clause_who_which_that']",There WILL be people that vote for a female for the same reason.
There will always exist a lot of people who might feel offensive and others entertained in the same targeted market for the same prank .,"['a1_there_will_be', 'a2_relative_clause_who_which_that', 'a2_zero_non_finite_forms']",There will always exist a lot of people who might feel offensive and others entertained in the same targeted market for the same prank.
"Since there 's no action , there 'll be no failure , but there 'll also be no lessons .","['a1_to_be_future_will_be', 'a1_there_is_am_are', 'a1_there_will_be']","Since there's no action, there'll be no failure, but there'll also be no lessons."
"When things do n't go as expected , then have faith everything will be great just in another way .","['a1_to_be_future_will_be', 'a1_there_will_be', 'a1_present_simple_reg_act', 'a2_first_conditional_if_m']","When things don't go as expected, then have faith everything will be great just in another way."
You will always be on the low end of the pole economically and politically .,['a1_to_be_future_will_be'],You will always be on the low end of the pole economically and politically.
"I would reckon that will be Pirates , Left Greens and either Social Democrats or Bright Future .",['a1_to_be_future_will_be'],"I would reckon that will be Pirates, Left Greens and either Social Democrats or Bright Future."
"Mirra will be inducted into the National BMX Hall of Fame in Chula Vista , California , on 11 June .","['a1_to_be_future_will_be', 'a2_passive_will']","Mirra will be inducted into the National BMX Hall of Fame in Chula Vista, California, on 11 June."
"He will also be honored during this June 's X Games in Austin , Texas , with a new event named for him , the Dave Mirra BMX Park Best Trick competition .","['a1_possesive_s_sing', 'a1_to_be_future_will_be', 'a2_passive_will']","He will also be honored during this June's X Games in Austin, Texas, with a new event named for him, the Dave Mirra BMX Park Best Trick competition."
The winner will be awarded the Mirra Golden Pedal and prize money .,"['a1_to_be_future_will_be', 'a2_passive_will']",The winner will be awarded the Mirra Golden Pedal and prize money.
"Now the real fight begins , and the economy will be a key - if not the key - battleground .","['a1_to_be_future_will_be', 'a1_present_simple_3d_pers']","Now the real fight begins, and the economy will be a key - if not the key - battleground."
And reductions in employment will be particularly hard on workers because Trump plans further cuts in the social safety net .,"['a1_to_be_future_will_be', 'a1_present_simple_3d_pers', 'a2_ing_non_finite_forms']",And reductions in employment will be particularly hard on workers because Trump plans further cuts in the social safety net.
"Without a balanced , comparative assessment of strategies to align energy use and industry with inescapable climate action , we wo n't be able to choose the best possible future .","['a1_to_be_future_will_be', 'a2_to_non_finite_forms']","Without a balanced, comparative assessment of strategies to align energy use and industry with inescapable climate action, we won't be able to choose the best possible future."
It will be based on the book Vulgar Favors by Maureen Orth and Child Spy writer Tom Rob Smith,"['a1_to_be_future_will_be', 'a2_passive_will']",It will be based on the book Vulgar Favors by Maureen Orth and Child Spy writer Tom Rob Smith
"Either way , it will be hard to hide that a trip to the Rocky Mountains in Montana to see Glacier national park wo n't involve seeing any actual glaciers .","['a1_to_be_future_will_be', 'a1_future_simple', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']","Either way, it will be hard to hide that a trip to the Rocky Mountains in Montana to see Glacier national park won't involve seeing any actual glaciers."
Glacier national park without its glaciers will still be a stunningly beautiful place .,['a1_to_be_future_will_be'],Glacier national park without its glaciers will still be a stunningly beautiful place.
"Racial stereotypes await on every aisle , which will undoubtedly be a third rail for some viewers .","['a1_to_be_future_will_be', 'a1_present_simple_reg_act', 'a2_relative_clause_who_which_that']","Racial stereotypes await on every aisle, which will undoubtedly be a third rail for some viewers."
"Comments will be opened later today , Born Nathaniel Emanuel Combs , 18 November , 1979 in Norfolk , Virginia .","['a1_to_be_future_will_be', 'a2_passive_will']","Comments will be opened later today, Born Nathaniel Emanuel Combs, 18 November, 1979 in Norfolk, Virginia."
"In 14 battleground or swing states , where the electoral college will be decided , Clinton is ahead in all but Ohio , Iowa and Georgia .","['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be', 'a2_passive_present_simple', 'a2_passive_will']","In 14 battleground or swing states, where the electoral college will be decided, Clinton is ahead in all but Ohio, Iowa and Georgia."
It is not a temporary eruption or crisis that will be imminently solved within the conventional news cycle .,"['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be', 'a2_passive_will']",It is not a temporary eruption or crisis that will be imminently solved within the conventional news cycle.
"And the vagaries of mean it will be impossible to predict with accuracy , even in its final moments .","['a1_to_be_future_will_be', 'a2_to_non_finite_forms']","And the vagaries of mean it will be impossible to predict with accuracy, even in its final moments."
"As part of the settlement , three Gawker stories , including the Hogan one , will be deleted from the internet .","['a1_to_be_future_will_be', 'a2_passive_will']","As part of the settlement, three Gawker stories, including the Hogan one, will be deleted from the internet."
"I do not believe minorities will be a direct target under the Trump administration , as this would immediately be under the spotlight .","['a1_to_be_future_will_be', 'a1_present_simple_reg_act']","I do not believe minorities will be a direct target under the Trump administration, as this would immediately be under the spotlight."
"But more worrying , the deterioration of their situation will be a consequence of the societal climate .",['a1_to_be_future_will_be'],"But more worrying, the deterioration of their situation will be a consequence of the societal climate."
But the speech will be remembered for her scrupulously factual and devastating recitation of Trump 's most ignorant and outrageous statements about global issues .,"['a1_to_be_future_will_be', 'a2_ing_non_finite_forms', 'a2_passive_will']",But the speech will be remembered for her scrupulously factual and devastating recitation of Trump's most ignorant and outrageous statements about global issues.
With less than two weeks before the Olympics start vetting more than 300 Russians will not be an easy task .,"['a1_to_be_future_will_be', 'a1_present_simple_reg_act', 'a2_much_many_a_lot', 'a2_ing_non_finite_forms']",With less than two weeks before the Olympics start vetting more than 300 Russians will not be an easy task.
Otherwise they will be preparing for a Trump inaugural parade that rolls past a new Trump hotel on Pennsylvania Avenue in seven short months .,"['a1_to_be_future_will_be', 'a1_present_simple_3d_pers']",Otherwise they will be preparing for a Trump inaugural parade that rolls past a new Trump hotel on Pennsylvania Avenue in seven short months.
"It wo n't make America great , but it will be one hell of a protest .",['a1_to_be_future_will_be'],"It won't make America great, but it will be one hell of a protest."
"It wo n't be quite as profitable a business , but we will be able to preserve the environment .","['a1_to_be_future_will_be', 'a2_to_non_finite_forms']","It won't be quite as profitable a business, but we will be able to preserve the environment."
"But for the duration of the Games , the gleaming new subway service will only be available to Olympic ticket and pass holders .","['a1_to_be_future_will_be', 'a2_passive_will']","But for the duration of the Games, the gleaming new subway service will only be available to Olympic ticket and pass holders."
Commuters will not be allowed to use the extension until the end of the year .,"['a1_to_be_future_will_be', 'a2_to_non_finite_forms']",Commuters will not be allowed to use the extension until the end of the year.
This is a review that will be broad and deep at the same time .,"['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be']",This is a review that will be broad and deep at the same time.
This is the definition of insanity - to go through the same situations over and over believing the outcome will be different .,"['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']",This is the definition of insanity - to go through the same situations over and over believing the outcome will be different.
Notice of this legal change shall be posted in a public place in Multnomah County as required by law .,"['a1_to_be_future_will_be', 'a2_passive_will']",Notice of this legal change shall be posted in a public place in Multnomah County as required by law.
"Amid the inevitable speculation over who will be the new hosts , the favourite to front the new series is Jo Brand - presenter of show An Extra Slice .","['a1_to_be_future_will_be', 'a2_to_non_finite_forms']","Amid the inevitable speculation over who will be the new hosts, the favourite to front the new series is Jo Brand - presenter of show An Extra Slice."
"The album will be released in all territories on 28 October , and given that there are 9 .","['a1_to_be_future_will_be', 'a1_there_is_am_are', 'a2_passive_present_simple', 'a2_passive_will']","The album will be released in all territories on 28 October, and given that there are 9."
Nearly all the 62 proposals put forward by governments will be to increase protection .,"['a1_to_be_future_will_be', 'a2_to_non_finite_forms']",Nearly all the 62 proposals put forward by governments will be to increase protection.
Chinese consumption will be blamed for the plight of the tiger but also for the loss of west African forests .,"['a1_to_be_future_will_be', 'a2_ing_non_finite_forms', 'a2_passive_will']",Chinese consumption will be blamed for the plight of the tiger but also for the loss of west African forests.
Trump will be our new president and we ca n't change that .,"['a1_to_be_future_will_be', 'a1_can']",Trump will be our new president and we can't change that.
"The UN estimates that as many as 700 , 000 of Mosul 's residents will be in desperate need as the attack gets under way .","['a1_possesive_s_sing', 'a1_to_be_future_will_be', 'a1_present_simple_3d_pers']","The UN estimates that as many as 700, 000 of Mosul's residents will be in desperate need as the attack gets under way."
MAX AND HARVEY PLZ ANSWER THIS QUESTION : will u ever be in Surrey ? ?,['a1_to_be_future_will_be'],MAX AND HARVEY PLZ ANSWER THIS QUESTION: will u ever be in Surrey? ?
"I will not be collateral damage in a presidential campaign , nor will I be a woman bullied by Hillary Clinton , Bondi told Fox Business Network .","['a1_to_be_future_will_be', 'a1_past_simple_irreg', 'a1_future_simple', 'a2_tell_reported_verb']","I will not be collateral damage in a presidential campaign, nor will I be a woman bullied by Hillary Clinton, Bondi told Fox Business Network."
"It will be a Religious War , a sort of Christian Jihad , fueled by religious hatred and led by merciless fanatics on both sides .","['a1_to_be_future_will_be', 'a2_passive_will']","It will be a Religious War, a sort of Christian Jihad, fueled by religious hatred and led by merciless fanatics on both sides."
"It will be guerilla warfare on a global scale , with no front lines and no identifiable enemy .",['a1_to_be_future_will_be'],"It will be guerilla warfare on a global scale, with no front lines and no identifiable enemy ."
"The next Fed meeting will take place in July , weeks after the June report and the Brexit vote .","['a1_to_be_future_will_be', 'a1_future_simple']","The next Fed meeting will take place in July, weeks after the June report and the Brexit vote."
Apple 's new version of its Mac operating system - Sierra - will be available for download later today .,"['a1_possesive_s_sing', 'a1_to_be_future_will_be']",Apple's new version of its Mac operating system - Sierra - will be available for download later today.
The free upgrade is available for almost any Mac from late 2009 and will be available via the Mac App Store later today .,"['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be']",The free upgrade is available for almost any Mac from late 2009 and will be available via the Mac App Store later today.
"And , for people whose BMI is 30 or more - who are defined as obese - such treatment will be put back a year or until","['a1_to_be_future_will_be', 'a2_adjectives_ing', 'a2_relative_clause_who_which_that', 'a2_passive_present_simple', 'a2_passive_will']","And, for people whose BMI is 30 or more - who are defined as obese - such treatment will be put back a year or until"
"While the effects of an Arctic on global weather systems are still in the realm of known unknowns , it is a known known that they will be disruptive .","['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be']","While the effects of an Arctic on global weather systems are still in the realm of known unknowns, it is a known known that they will be disruptive."
The results of an appeal to the court of arbitration for sport in Lausanne will be revealed on Thursday .,"['a1_to_be_future_will_be', 'a2_passive_will']",The results of an appeal to the court of arbitration for sport in Lausanne will be revealed on Thursday.
"The biscuit and football are the embodiment of the awesome , power that will be put in Trump 's hands on 20 January .","['a1_possesive_s_sing', 'a1_to_be_present_is_am_are', 'a1_to_be_future_will_be']","The biscuit and football are the embodiment of the awesome, power that will be put in Trump's hands on 20 January."
"This time around , whoever the Democrat is will be hammering Trump and the rest of the GOP for their blindness to climate science - it 's now a losing proposition for them .","['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be', 'a2_ing_non_finite_forms']","This time around, whoever the Democrat is will be hammering Trump and the rest of the GOP for their blindness to climate science - it's now a losing proposition for them."
"His funeral on Friday will reflect his multifaceted legacy it will be an interfaith service , open to the public , streamed live on the website of the Muhammad Ali Center .","['a1_to_be_future_will_be', 'a1_past_simple_reg', 'a1_future_simple']","His funeral on Friday will reflect his multifaceted legacy it will be an interfaith service, open to the public, streamed live on the website of the Muhammad Ali Center."
"Key to this will be the large manned space station , Tiangong , which they plan to have in orbit by then .","['a1_to_be_future_will_be', 'a1_present_simple_reg_act', 'a2_relative_clause_who_which_that']","Key to this will be the large manned space station, Tiangong, which they plan to have in orbit by then."
It will lead to a substantial orbital facility that will be in use by 2020 .,['a1_to_be_future_will_be'],It will lead to a substantial orbital facility that will be in use by 2020.
"Known simply as Tiangong , it will be a key base for space research , with two large science modules joined together by a connecting service module .","['a1_to_be_future_will_be', 'a2_passive_will']","Known simply as Tiangong, it will be a key base for space research, with two large science modules joined together by a connecting service module."
This larger vehicle will be capable of taking up to six crew to the full Tiangong space station or on missions to lunar orbit .,"['a1_comparative_short', 'a1_to_be_future_will_be', 'a2_ing_non_finite_forms']",This larger vehicle will be capable of taking up to six crew to the full Tiangong space station or on missions to lunar orbit.
"It is not yet known what the Long March 5 will send into orbit , but the giant rocket 's second flight , scheduled for next year , will be carrying a very special cargo .","['a1_possesive_s_sing', 'a1_to_be_future_will_be', 'a2_passive_present_simple']","It is not yet known what the Long March 5 will send into orbit, but the giant rocket's second flight, scheduled for next year, will be carrying a very special cargo."
It will be a robotic mission designed to land on the lunar surface and send back samples of moon rock to the Earth for Chinese scientists to analyse .,"['a1_to_be_future_will_be', 'a2_to_non_finite_forms']",It will be a robotic mission designed to land on the lunar surface and send back samples of moon rock to the Earth for Chinese scientists to analyse.
"Almost certainly this will be a flashpoint , but the ignition of a new space race would be a mistake .",['a1_to_be_future_will_be'],"Almost certainly this will be a flashpoint, but the ignition of a new space race would be a mistake."
"I am a third year social work student , and I wo n't really be carrying it to class : it will mostly be used at home .","['a1_to_be_present_is_am_are', 'a1_to_be_future_will_be', 'a2_ing_non_finite_forms']","I am a third year social work student, and I won't really be carrying it to class: it will mostly be used at home."
"His was the first of two police shootings that week , including a shocking video of the shooting of Minnesota man Philandro Castile , the aftermath of which was broadcast live on Facebook by his girlfriend .","['a1_to_be_past_was_were', 'a2_relative_clause_who_which_that']","His was the first of two police shootings that week, including a shocking video of the shooting of Minnesota man Philandro Castile, the aftermath of which was broadcast live on Facebook by his girlfriend."
She was n't the only one whose burden would be lessened by the loss .,"['a1_to_be_past_was_were', 'a2_relative_clause_who_which_that']",She wasn't the only one whose burden would be lessened by the loss.
"I was drunk , nearing my 35th birthday this past May , alone in a dank college dorm room , attending my grad school reunion .",['a1_to_be_past_was_were'],"I was drunk, nearing my 35th birthday this past May, alone in a dank college dorm room, attending my grad school reunion."
"This was the third brutal attack Sankari had experienced , the flatmate continued .","['a1_to_be_past_was_were', 'a2_narrative_tenses', 'a2_past_perfect_basic']","This was the third brutal attack Sankari had experienced, the flatmate continued."
They said the charges against Martin were mere allegations and they had not yet seen prosecutors ' evidence .,"['a1_to_be_past_was_were', 'a2_past_perfect_basic']",They said the charges against Martin were mere allegations and they had not yet seen prosecutors' evidence.
"Snowden , who had worked for the CIA and the NSA , handed over material to journalists at the Guardian in 2013 when he was employed by Booz Allen as contractor to the NSA .","['a1_to_be_past_was_were', 'a2_narrative_tenses', 'a2_past_perfect_basic']","Snowden, who had worked for the CIA and the NSA, handed over material to journalists at the Guardian in 2013 when he was employed by Booz Allen as contractor to the NSA."
"Few , though , were ready to face vicious crosswinds and waters so choppy that it left a Serbian boat capsized and others claiming these were the worst conditions they had ever encountered .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a2_narrative_tenses', 'a2_past_perfect_basic', 'a2_to_non_finite_forms']","Few, though, were ready to face vicious crosswinds and waters so choppy that it left a Serbian boat capsized and others claiming these were the worst conditions they had ever encountered."
"The Australian Kim Brennan , a competitor in single sculls , was a particularly vociferous critic , insisting the course was not rowable .",['a1_to_be_past_was_were'],"The Australian Kim Brennan, a competitor in single sculls, was a particularly vociferous critic, insisting the course was not rowable ."
"The idea was to make it sound like he was ' softening ' in hopes of bringing home suburban voters , mostly women , who are uncomfortable voting for a racist .","['a1_to_be_past_was_were', 'a1_to_be_present_is_am_are', 'a2_past_continuous']","The idea was to make it sound like he was 'softening' in hopes of bringing home suburban voters, mostly women, who are uncomfortable voting for a racist."
"Republican lawmakers were overwhelmingly responsible for the abortion restrictions under fire , and in each of these states , the party still controls at least one house of the legislature , if not also the governor 's seat .","['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_present_simple_3d_pers']","Republican lawmakers were overwhelmingly responsible for the abortion restrictions under fire, and in each of these states, the party still controls at least one house of the legislature, if not also the governor's seat."
"District judge Tanya Walton Pratt blocked an Indiana law which barred abortions when the reason was race , color , national origin , ancestry , sex or a diagnosis or potential diagnosis of a disability or malformation .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a2_relative_clause_who_which_that']","District judge Tanya Walton Pratt blocked an Indiana law which barred abortions when the reason was race, color, national origin, ancestry, sex or a diagnosis or potential diagnosis of a disability or malformation."
Halldora was born and raised in Iceland and currently works in Reykjavik .,"['a1_to_be_past_was_were', 'a1_present_simple_3d_pers', 'a2_passive_past_simple']",Halldora was born and raised in Iceland and currently works in Reykjavik.
"Although it was no small drop of news , the Panama Papers scandal was the thing that pushed it over the edge .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a1_past_simple_irreg']","Although it was no small drop of news, the Panama Papers scandal was the thing that pushed it over the edge."
Galdur was born and raised in Iceland and works as an IT professional .,"['a1_to_be_past_was_were', 'a1_present_simple_3d_pers', 'a2_passive_past_simple']",Galdur was born and raised in Iceland and works as an IT professional.
"In July , Cruz refused to endorse Trump in a speech to the Republican convention , earning boos , then explained his speech by saying he was not a servile puppy .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a2_to_non_finite_forms']","In July, Cruz refused to endorse Trump in a speech to the Republican convention, earning boos, then explained his speech by saying he was not a servile puppy ."
"As early as 1798 , just a few years after the establishment of the Republic , Congress adopted a Naturalization law that was intended to keep out radicals who could promote sedition .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a2_could', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms', 'a2_passive_past_simple']","As early as 1798, just a few years after the establishment of the Republic, Congress adopted a Naturalization law that was intended to keep out radicals who could promote sedition."
"The main targets were the French , who might spread the Jacobin ideology of the French Revolution .","['a1_to_be_past_was_were', 'a2_relative_clause_who_which_that']","The main targets were the French, who might spread the Jacobin ideology of the French Revolution."
"In the 19th century , a focus of exclusion was the Chinese who were explicitly kept out under the Chinese Exclusion Act of 1882 .","['a1_to_be_past_was_were', 'a2_relative_clause_who_which_that', 'a2_passive_past_simple']","In the 19th century, a focus of exclusion was the Chinese who were explicitly kept out under the Chinese Exclusion Act of 1882."
"That law was not repealed until 1943 , when it became embarrassing because China was an ally of the United States in the war against Japan .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_passive_past_simple']","That law was not repealed until 1943, when it became embarrassing because China was an ally of the United States in the war against Japan."
"We were right there every step of the way with them , and this was a team and world champions .",['a1_to_be_past_was_were'],"We were right there every step of the way with them, and this was a team and world champions."
"But more than that , Russell Westbrook was off his game , shooting for from the floor on Monday night .",['a1_to_be_past_was_were'],"But more than that, Russell Westbrook was off his game, shooting for from the floor on Monday night."
Warriors coach Steve Kerr said beforehand he was going to make 11 alterations to the gameplan one of which was starting Andre Iguodala after a strong showing in Game 6 instead of Harrison Barnes .,"['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_past_continuous', 'a2_say_reported_verb']",Warriors coach Steve Kerr said beforehand he was going to make 11 alterations to the gameplan one of which was starting Andre Iguodala after a strong showing in Game 6 instead of Harrison Barnes.
The Thunder were notorious for squandering leads in the final minutes of games .,"['a1_to_be_past_was_were', 'a2_ing_non_finite_forms']",The Thunder were notorious for squandering leads in the final minutes of games.
"Bay Area natives Andy Samberg and were seen in the Oracle Arena crowd , as was Democratic presidential candidate Bernie Sanders , who arrived at after campaigning in northern California .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a2_relative_clause_who_which_that']","Bay Area natives Andy Samberg and were seen in the Oracle Arena crowd, as was Democratic presidential candidate Bernie Sanders, who arrived at after campaigning in northern California."
"When I had my first baby , the support I received from my nurse was indispensable in helping me initiate and continue breastfeeding .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a1_past_simple_irreg']","When I had my first baby, the support I received from my nurse was indispensable in helping me initiate and continue breastfeeding."
It would be tempting to say this was just another week in the bizarre life of the Republican presidential nominee .,"['a1_to_be_past_was_were', 'a2_to_non_finite_forms']",It would be tempting to say this was just another week in the bizarre life of the Republican presidential nominee.
"Which is all a bit ironic considering that Alzheimer 's disease is , indirectly , the only reason I 'm not utterly drowning right now .",['a1_to_be_present_is_am_are'],"Which is all a bit ironic considering that Alzheimer's disease is, indirectly, the only reason I'm not utterly drowning right now."
"And , having worked through my demons , I 'm able to forgive and be proud of myself too .","['a1_to_be_present_is_am_are', 'a2_present_perfect', 'a2_to_non_finite_forms']","And, having worked through my demons, I'm able to forgive and be proud of myself too."
Or I could beat the odds and live till I 'm 90 .,"['a1_to_be_present_is_am_are', 'a2_could']",Or I could beat the odds and live till I'm 90.
"A central Texas man serving a life sentence for a double murder in 1992 is innocent , as are three codefendants no longer in prison , a state judge has found .","['a1_to_be_present_is_am_are', 'a2_present_perfect']","A central Texas man serving a life sentence for a double murder in 1992 is innocent, as are three codefendants no longer in prison, a state judge has found."
"It is dispiriting that after both modest and substantial gains have been made during the Obama and Black Lives Matter years ( on race , gender , political imagination , LGBT rights and healthcare )","['a1_to_be_present_is_am_are', 'a2_present_perfect']","It is dispiriting that after both modest and substantial gains have been made during the Obama and Black Lives Matter years (on race, gender, political imagination, LGBT rights and healthcare)"
"And the status quo with respect to minorities , is : Stay in your place !","['a1_to_be_present_is_am_are', 'a2_imperatives']","And the status quo with respect to minorities, is: Stay in your place!"
"My children and my grandchildren , as well as I am , as well my father and my grandfather and",['a1_to_be_present_is_am_are'],"My children and my grandchildren, as well as I am, as well my father and my grandfather and"
"Syrian refugees in Turkey are given temporary protection by the government of Turkey , which is primarily responsible for their protection in the country .","['a1_to_be_present_is_am_are', 'a2_passive_present_simple']","Syrian refugees in Turkey are given temporary protection by the government of Turkey, which is primarily responsible for their protection in the country."
"I know it 's just a street , but most of the residents here are so friendly , it 's also become a really good way to have a chat to a Kiwi .","['a1_to_be_present_is_am_are', 'a2_present_perfect', 'a2_to_non_finite_forms']","I know it's just a street, but most of the residents here are so friendly, it's also become a really good way to have a chat to a Kiwi."
"These documents were produced through sensitive government sources , methods and capabilities , which are critical to a wide variety of national security issues .",['a1_to_be_present_is_am_are'],"These documents were produced through sensitive government sources, methods and capabilities, which are critical to a wide variety of national security issues."
The issues are further amplified because the Trump Organization is a privately held corporation and the has flouted longstanding tradition in not releasing his tax returns .,"['a1_to_be_present_is_am_are', 'a2_present_perfect', 'a2_adjectives_ed', 'a2_passive_present_simple']",The issues are further amplified because the Trump Organization is a privately held corporation and the has flouted longstanding tradition in not releasing his tax returns.
"Urged by those who reluctantly embraced him to tone down his rhetoric , Trump has in recent weeks attempted to show he is capable of discipline .","['a1_to_be_present_is_am_are', 'a1_past_simple_reg', 'a2_present_perfect', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']","Urged by those who reluctantly embraced him to tone down his rhetoric, Trump has in recent weeks attempted to show he is capable of discipline."
"That 's not really about African American voters , but about white suburban voters .",['a1_to_be_present_is_am_are'],"That's not really about African American voters, but about white suburban voters."
It is through the Cites treaty that the international trade in ivory was banned in 1989 .,"['a1_to_be_present_is_am_are', 'a2_passive_past_simple']",It is through the Cites treaty that the international trade in ivory was banned in 1989.
"John Scanlon , of Cites , told the Guardian the forthcoming convention is without doubt one of the most critical meetings of Cites in its history .","['a1_to_be_present_is_am_are', 'a2_tell_reported_verb']","John Scanlon, of Cites, told the Guardian the forthcoming convention is without doubt one of the most critical meetings of Cites in its history."
"Beholden to four children and an unsupportive husband , she is underslept and undersocialised , with no life to speak of beyond her role as mom .","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms', 'a2_passive_present_simple']","Beholden to four children and an unsupportive husband, she is underslept and undersocialised, with no life to speak of beyond her role as mom."
"To be a modern mother is to be a bad one , doomed to failure","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms']","To be a modern mother is to be a bad one, doomed to failure"
"We want everyone in Europe to understand our situation here for Syrians , especially gays .","['a1_want_would_like_to', 'a2_to_non_finite_forms']","We want everyone in Europe to understand our situation here for Syrians, especially gays."
I 'd appreciate it if you 'd leave from the front of my house,"['a1_want_would_like_to', 'a2_second_conditional_if_m']",I'd appreciate it if you'd leave from the front of my house
"We have to envision what kind of city we want Accra to be , Abeiku says .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_have_to', 'a2_to_non_finite_forms']","We have to envision what kind of city we want Accra to be, Abeiku says."
You want to punch the air at the unexpected electric guitar solo .,"['a1_present_simple_reg_act', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",You want to punch the air at the unexpected electric guitar solo.
"I 'd quite like to destroy Coldplay , someone offered eventually , but","['a1_past_simple_reg', 'a1_want_would_like_to']","I'd quite like to destroy Coldplay, someone offered eventually, but"
"All of this work will be the basis for the flight to the moon , Hyon said , adding that he would like to see that happen within 10 years .","['a1_want_would_like_to', 'a2_say_reported_verb']","All of this work will be the basis for the flight to the moon, Hyon said, adding that he would like to see that happen within 10 years ."
I think Australia has to respect them because they want to join their families .,"['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_want_would_like_to', 'a2_have_to', 'a2_to_non_finite_forms']",I think Australia has to respect them because they want to join their families.
"I do n't just turn my back , I actively do n't want it .","['a1_present_simple_reg_act', 'a1_want_would_like_to']","I don't just turn my back, I actively don't want it."
"Given the choice , Elizabeth would have wanted a more serious commitment .",['a1_want_would_like_to'],"Given the choice, Elizabeth would have wanted a more serious commitment."
